;description;lien
26;"مؤلَّف مبتكرٌ في علم التجويد ، هدف المؤلِّفون منه إلى أن يكون عدَّةً لدارس علم التجويد وزاداً له، فهو يجمع بين التأصيل لعلم التجويد في أبحاثه وقضاياه وبين الاستفادة من معطَيات العصر الحديث؛ وذلك من أجل تكوين جيلٍ ذي ثقافة أصيلةٍ يبني على معرفة الأئمَّة السابقين من علماء العربية والتجويد، ومطَّلعٍ على ثقافة عصره الحاضرة. وقد امتاز الكتاب بعباراته المنهجية المركَّزة والمختصرة لتناسب دارسي علم التجويد، هذا مع الاستعانة بالرسوم التوضيحية والجداول التعليمية والتوجيهات التربوية والمناقشات التفصيلية والأسئلة الدقيقة المرجعيَّة التي حرص المؤلِّفون على إلحاقها في آخر كلِّ فصل تيسيراً لمراجعة ما جاء فيه. 
وقد قسَّمه المؤلِّفون إلى خمسة فصول، وهي كالآتي: الفصل الأول: مقدمات في علم التجويد عرَض لمقدِّماتٍ مهمَّةٍ في علم التجويد، والتعريف برواية الإمام حفص عن عاصم، وطرق تعلُّم القرآن، وأخطاء المتعلِّمين، وشروط الإجازة، وآداب التلاوة...
 الفصل الثاني: أحكام الإفراد للحروف تعرَّض لأعضاء النُّطق من ناحية تشريحية وفيزيائية وفصَّل في مخارج الحروف وصفاتها، وعرض صورًا توضيحيَّة لها. وهذا الفصل مهمٌّ لمعلِّمي القرآن الكريم، وخاصة الذين يعلِّمون القرآن للنَّاطقين بغير العربية .
 الفصل الثالث: أحكام التركيب للحروف. ويُبَيِّنُ صورَ التركيبات بين الحروف.
الفصل الرابع : الوقف والابتداء تناول تعريف الوقف والابتداء، وكيفياته، وأقسامه، وعلامات الوقف المرنةَ في المصاحف ووضع لذلك جداول علمية مبسَّطة. وفيه فوائد كثيرةٌ للمعلِّم والمتعلِّم. 
الفصل الخامس: تتمَّات وفوائد هذا الفصل ذو فوائد متعدِّدة فهو يتناول أحوال التقاء الساكنين، والنَّبرَ المنضبطَ في مؤلَّفات المجوِّدين، وأنواع المشدَّدات، ويتعرَّض لذكر كيفيات أدائية خاصة بروية الإمام حفص عن عاصم.
وتضمُّ ثلاثة فهارس: فهرس الموضوعات والجداول والصُّور.
";https://www.sifatusafwa.com/ar/أحكام-التجويد/taqreeb-al-manhaji-li-t-tajweed-dr-ahmed-shukri-dr-adil-abu-sha-r.html
27;"كتاب في أصول الفقه الإسلامي يبحث في الألفاظ وما يتعلق بها، والأدلة الشرعية : القرآن والسنة والكلام في الأخبار وأحكامها في فصل مطول، وعرض للأوامر والنواهي الواردة في القرآن والسنة والعموم والخصوص، والجمع والاستثناء والكناية بالضمير والإشارة والإعجاز والتشبيه، والنسخ والمتشابه، ثم تكلم في ختام الكتاب عن مبحث الإجماع
طبعة رائعة محققة و مخرجة في أربعة مجلدات
";https://www.sifatusafwa.com/ar/أصول-الفقه/al-ihkam-fi-usul-al-ahkam-ibn-hazm-al-andalusi.html
28;" شرح الشيخ زيد المدخلي على منظومة وسيلة الحصول إلى مهمات الأصول لناظمها الشيخ حافظ الحكمي و سماه: الجهد المبذول في تنوير العقول
طبعة سعودية جميلة في مجلد كبير (أكثر من 700 صفحة)
";https://www.sifatusafwa.com/ar/أصول-الفقه/al-juhd-ul-mabdhul-fi-tanwir-al-uqul-hafidh-hakami-zayd-al-madkhali.html
29;"يعد كتاب اللمع للإمام الشيرازي (476 هـ) من أهم الكتب التي ألفت في علم أصول الفقه عامة و في أصول الفقه على المذهب الشافعي خصوصا؛ وهو اختصار جميل لكتاب ""التبصرة في أصول الفقه"" للمؤلف نفسه غير أنه يتميز عن باقي كتب الأصول بأنه يحتوي على كثير من الأدلة والمناقشات القوية والمفيدة
";https://www.sifatusafwa.com/ar/أصول-الفقه/al-luma-fi-usul-al-fiqh-ash-shirazi.html#/28-edition-soft_cover
30;"كتاب بالغ الأهمية لفخر الدين الرازي (606 هـ) يبحث في علم أصول الفقه الإسلامي، وهو مرجع يرجع إليه كل من أراد أن يكتب أو يتكلم في علم الأصول، عرض فيه مصنفه للمقدمات الأصولية واللغات والأوامر والنواهي والأفعال والناسخ والمنسوخ والإجماع والأخبار والقياس والتعادل والترجيح والاجتهاد والمفتي والمستفتي وفصل في ذلك تفصيلا كبيرا . وقد حظي ""المحصول"" باهتمام بالغ من أهل العلم والمشتغلين به، فمن بين شارح ومختصر ومعلق وعلى هذه الطبعة تعليقات وحواشي مهمة
";https://www.sifatusafwa.com/ar/أصول-الفقه/al-muntakhab-mina-al-mahsul-fi-usul-al-fiqh-fakhr-al-din-razi.html
31;"علم القواعد الفقهية من أهم العلوم الشرعية، وهو سبيل ضبط الفقه وإتقانه، ويؤهلُ الفقيه أن يرتقي إلى درجة الاجتهاد، ويبصِّرُ الدارس بأسرار الشريعة، ومدارك الأحكام، ومآخذ المسائل الفقهية، ويقصِّرُ عمرَ الطلبِ، ويُوفِرُ على الطالبِ الكثيرَ من الجهدِ والوَقتِ فيحَصِّلَ طِلبَتَهُ فِي أَقرَبِ الأَزمَانِ.
وهذا الكتاب شرحٌ متوسطٌ بين الإيجاز والإسهاب على منظومة القواعد الفقهية للشيخ/ عثـمان بن سـند البصـري رحمه الله – وهي منظومة لا تزال مخطوطة ما قام بإخراجها إلى النورِ أحدٌ، وما قام بتحقيقها أحدٌ، فضلًا عن أن يكون شرحها أحدٌ.
وهي تمتاز بسلاسة ألفاظها، وسهولة عباراتها، وحسن سبكها، مما يسهل على طلبة العلم حفظها.
وقد صَدَّرتُ الشَّرحَ ببيانِ خَصَائِصِ القَوَاعِدِ الفِقهِيَّةِ، ومَصَادِرها، وحُكمِ الاستِدلَالِ بِهَا عَلَى الأَحكَامِ الفِقهِيَّةِ، وبيانِ الفرق بَينَ القَاعِدَةِ الفِقهِيَّةِ وَالقَاعِدَةِ الأُصُولِيَّةِ، وبيانِ الفَرقِ بَينَ القَاعِدَةِ الفِقهِيَّةِ وَالنَّظَرِيَةِ الفِقهِيَّةِ، والاختِلَافِ بَينَ القَاعِدَةِ الفِقهِيَّةِ وَالنَّظَرِيَةِ الفِقهِيَّةِ، والفَرقِ بَينَ القَاعِدَةِ الفِقهِيَّةِ والضَّابِطِ الفِقهِيِّ، وَبيانِ أَولِ مَن تَكَلَمَ فِي القَوَاعِدِ الفِقهِيَّةِ، والمُؤلَفَاتِ فِي القَوَاعِدِ الفِقهِيَّةِ.
وقد حرصت أن تكون تطبيقات القواعد قريبةً من الواقع، وأن تعالج كثيرًا من القضايا التي يحتاجها الناس في واقعهم المعاصر
";https://www.sifatusafwa.com/ar/أصول-الفقه/al-uqud-al-fiddiyah-sharh-mandhumah-al-qawa-id-al-fiqhiyyah-harakat.html
32;"This work brings together two works in the Usul Fiqh.
The first is by Hafidh al-'Iraqi, known for his Alfiat fi al-Hadith, he also wrote a poem of 1000 verses in the science of Usul, entitled An-Najm al-Wahhaj fi Nadhm al-Minhaj.
This poem is an adaptation of the second work in this book, Minhaj al-Usul ila 'Ilm al-Usul by Qadi al-Baydhawi.
Both works are verified and annotated by Abu Hammam al-Baydawi, the first is verified from 3 manuscripts, and the second is verified from 10 manuscripts.
100% Harakat.
";https://www.sifatusafwa.com/ar/أصول-الفقه/alfiat-al-iraqi-fi-usul-al-fiqh-matn-minhaj-al-wusul-li-l-baydawi.html
33;"شرح الشيخ علي الضويحي (عضو هيئة كبار العلماء سابقا) على روضة الناظر و جنة المناظر للإمام ابن قدامة المقدسي و سماه: فتح الولي الناصر شرح روضة الناظر
طبعة سعودية رائعة مخرجة الأحاديث في ستة مجلدات - متن روضة الناظر مشكول دون الشرح
";https://www.sifatusafwa.com/ar/أصول-الفقه/fath-al-wali-an-nasir-explanation-of-rawdatu-nadhir-dr-ali-ad-duwayhi-6-volumes.html
34;"إرشاد الفحول إلى تحقيق الحق من علم الأصول للإمام الشوكاني (1250 هـ) من أيسر ما أُلِّـف في أصول الفقه ، مع قوة في العبارة ، ووضح في المعنىوالإمام الشوكاني يُطيل النفس في عرض الآراء ومناقشة الأقوال وهو يُقسِّم مباحث علم الأصول إلى تقسيمات بديعة بحيث يسهل تناولها على القارئ . فإنه لما تكلّم عن الإجماع قسّم مباحثه إلى عشرين مبحثاًوهو كتاب في أصول الفقه ، استفاد فيه المؤلف مما كتبه السابقون ، وجمع خلاصة علم الأصول ، ورتبه أحسن ترتيب ، وجعله في مقدمة ، وسبعة مقاصد ، وخاتمةالمقصد الأول في الكتاب ، والثاني في السنة وما يتعلق فيها من مباحث ، والثالث في الإجماع ، والرابع في الأوامر والنواهي والمباحث التي تشمل المصادر الثلاثة السابقة ، والخامس في القياس والاستدلال ، والسادس في الاجتهاد ، والسابع في التعادل والترجيح ، والخاتمة في حكم الأصل في الأشياءومنهج الشوكاني في الكتاب أن يحقق المباديء الأصولية ، ثم يذكر مذاهب علماء الأصول فيها ، ونسبة كل قول لصاحبه ، وأدلة كل مذهب ، وترجيح ما يراه حقا 
";https://www.sifatusafwa.com/ar/أصول-الفقه/irshaad-al-fuhool-ila-tahqeeq-al-haqq-min-ilm-al-usool-shawkaanee.html#/143-edition-syrian_saudi_quality
35;"إرشاد الفحول إلى تحقيق الحق من علم الأصول للإمام الشوكاني (1250 هـ) من أيسر ما أُلِّـف في أصول الفقه ، مع قوة في العبارة ، ووضح في المعنىوالإمام الشوكاني يُطيل النفس في عرض الآراء ومناقشة الأقوال وهو يُقسِّم مباحث علم الأصول إلى تقسيمات بديعة بحيث يسهل تناولها على القارئ . فإنه لما تكلّم عن الإجماع قسّم مباحثه إلى عشرين مبحثاًوهو كتاب في أصول الفقه ، استفاد فيه المؤلف مما كتبه السابقون ، وجمع خلاصة علم الأصول ، ورتبه أحسن ترتيب ، وجعله في مقدمة ، وسبعة مقاصد ، وخاتمةالمقصد الأول في الكتاب ، والثاني في السنة وما يتعلق فيها من مباحث ، والثالث في الإجماع ، والرابع في الأوامر والنواهي والمباحث التي تشمل المصادر الثلاثة السابقة ، والخامس في القياس والاستدلال ، والسادس في الاجتهاد ، والسابع في التعادل والترجيح ، والخاتمة في حكم الأصل في الأشياءومنهج الشوكاني في الكتاب أن يحقق المباديء الأصولية ، ثم يذكر مذاهب علماء الأصول فيها ، ونسبة كل قول لصاحبه ، وأدلة كل مذهب ، وترجيح ما يراه حقا 
";https://www.sifatusafwa.com/ar/أصول-الفقه/irshaad-al-fuhool-ila-tahqeeq-al-haqq-min-ilm-al-usool-shawkaanee.html#/21-edition-egyptian
36;"ميز عن الشروح الأخرى المطبوعة بمزايا عديدة من أبرزها:
1- توسط حجمه بين الشروح، فليس بمبسوط المقام بحيث تعجز الهمم عن دركه، وليس بالوجيز الذي يحتاج إلى حل ألفاظه، وتجلية معانيه
2- سهولة عبارته، وترابط موضوعاته، ووضوح منهجه
3- براعة ابن رسلان في إيضاح عبارة ابن السبكي، وتبسيطها، وفكِّ رموزها بعبارة سهلة يفهمها المتخصصون في أصول الفقه وغيرهم
4- عنايته بشرح الأدلة والتعليلات، والإضافة إليها في كثير من المسائل
5- اهتمامه بالأمثلة مع تخريج الفروع على الأصول 
6- تحريره لمحل النـزاع، وبيان محل الخلاف، وسببه، ونوعه في كثير من مسائل الخلاف الأصولية
7- تنبيهه على بعض المسائل التي أغفلها ابن السبكي وغيره من شُرَّاح كتابه
8- اهتمامه بالنقل عن الأئمة، وتوثيق تلك النقول عنهم
9- عنايته ببيان الفروق بين الأقوال، والمسائل، والمصطلحات
10- تتبعه لأقوال ابن السبكي في كتبه الأخرى ومقارنتها بما في جمع الجوامع
";https://www.sifatusafwa.com/ar/أصول-الفقه/luma-al-lawami-fi-tawdih-jam-al-jawami-ibn-raslan-ar-ramli-.html
37;"رسالة للشيخ فيصل آل مبارك رحمه الله حول التقليد والاجتهاد والقياس
طبعة سعودية محققة قدم لها الشيخ شعيب الأرنؤوط
";https://www.sifatusafwa.com/ar/أصول-الفقه/maqam-ar-rachad-bayna-at-taqlid-wal-ijtihad-faysal-ibn-al-mubarak.html
38;"إن معرفة مقاصد الشريعة من أفضل الأعمال لأنها تساعد في فهم النصوص الشرعية وتفسيرها بشكل صحيح عند تطبيقها على الوقائع كما تساعد في معرفة القياس الصحيح من الفاسد فلا يعرف ذلك إلا من كان خبيرا بأسرار الشرع ومقاصده. ومن الذين اهتموا بمقاصد الشريعة وبذلوا أوقاتهم في تدبر النصوص الشارع وإخراج ما فيها من المقاصد والمصالح العلامة الشيخ عبد الرحمن بن ناصر السعدي رحمه الله. فقد أسهم العلامة إسهاما كبيرا في استخراج المقاصد وأعطاها عناية فائقة وأهمية لائقة
";https://www.sifatusafwa.com/ar/أصول-الفقه/maqasid-shariah-among-al-allamah-abderrahman-as-sa-di.html
39;"يعتبركتاب «مفتاح الوصول إلى بناء الفروع على الأصول»، للإمام الشريف « أبي عبد الله محمد بن أحمد الحسني التلمساني (ت771هـ) »، من كتب أصول الفقه التي اشتهرت بين علماء شمال إفريقيا وفقهائها إلى يومنا هذا، لأن فيه من الفوائد الجمة ما لا يخفى على الباحث البصير . ويمتاز تحقيق هذا الكتاب بما يلي
 ـ معالجة المسائل الفقهية المطروحة وفق منظور أصولي
 ـ تفريع الأحكام وربطها بأدلتها مع بيان وجه الربط
 ـ العناية في تطبيق الفروع على الأصول مما يساعد على فهم هذه القواعد
طبعة رائعة مشكولة و محققة بتحقيق الشيخ الفركوس
";https://www.sifatusafwa.com/ar/أصول-الفقه/miftah-al-wusul-ila-bina-al-furu-ala-al-usul-sharif-at-talmisani.html
40;"شرح الشيخ عبد الكريم الخضير على متن الورقات للإمام الجويني في أصول الفقه و سماه: تحبير الصفحات بشرح الورقات
طبعة سعودية رائعة
";https://www.sifatusafwa.com/ar/أصول-الفقه/sharh-al-waraqat-usul-al-fiqh-abdulkarim-al-khudayr.html
41;"شرح الشيخ العثيمين على ""التعبيرات الواضحات عن شرح الورقات"" للشيخ محمد عبد رب الرسول همام المدرس في الأزهر, وقد صنفه أثناء عضويته في هيئة التدريس بدار التوحيد بمدينة الطائف بالمملكة العربية السعودية
طبعة سعودية رائعة معتمدة مع التشكيل لأغلب النصوص
";https://www.sifatusafwa.com/ar/أصول-الفقه/sharh-at-ta-birat-al-wadihat-an-sharh-al-waraqat-shaykh-al-uthaymin.html
42;"رسالة لطيفة جامعة في أصول الفقه المهمة للشيخ السعدي - تعليق وتخقيق: نادر بن سعيد التعمري (التعليقات المنيفة)
تقديم: الشيخ مشهور آل سلمان والشيخ سليم الهلالي
";https://www.sifatusafwa.com/ar/أصول-الفقه/ta-liqat-ala-risalah-latifah-jami-ah-fi-usul-al-fiqh-li-shaykh-as-sa-di.html
43;"من أهم الكتب التي ألفت في علم أصول الفقه , وهو أصل لأكثر المؤلفات التي جاءت بعده ,وهو خلاصة حصاد كتب أربعة في الأصول كانت هي المآل والمعول عليها في علم الأصول, وهي : « كتاب : ""العمدة"" للقاضي عبد الجبار المعتزلي , وكتاب : ""المعتمد"" لأبي الحسين البصري , وكتاب : ""البرهان"" لإمام الحرمين الجويني , وكتاب : ""المستصفى"" للإمام أبي حامد الغزالي
طبعة رائعة محققة مقابلة على أربع نسخ مخطوطة
";https://www.sifatusafwa.com/ar/أصول-الفقه/tanqih-al-fusul-fi-ilm-al-usul-al-qurafi-harakat.html#/33-edition-edition_1
44;"شرح الشيخ سليمان الرحيلي على كتاب الأصول من علم أصول للعلامة ابن عثيمين
طبعة جميلة مع التشكيل لبعض النصوص
";https://www.sifatusafwa.com/ar/أصول-الفقه/taysir-al-wusul-ila-fahm-al-usul-min-ilm-al-usul-s-ruhayli.html
45;"بحث رائع حول أصول مذهب الإمام الأوزاعي رحمه الله
";https://www.sifatusafwa.com/ar/أصول-الفقه/usool-madhhab-al-imaam-al-awzaa-ee.html
46;"التحف بالمأثور عن السلف للشيخ عبد الرزاق البدر, جمع فيه بعض الآثار المروية عن السلف، متبعًا كل أثر بتعليق مختصر
";https://www.sifatusafwa.com/ar/أقوال-السلف/at-tuhfah-bi-ma-thur-an-as-salaf-shaykh-abdurrazzaq-al-badr.html
47;"قال المؤلف: أسعى من وراء هذه الدراسة إلى تحقيق جملة من الأهداف التي تتجلّى في ثنايا الخطة المُعَدّة لهذه الدراسة:
1- بيان أسس وخصائص منهج السلف في الوعظ, إذ أنّ المتأمل في مواعظ السلف يجدهم متّفقين على أسس وخصائص في منهج وعظهم لا يحيدون عنها
2- بيان الأساليب والوسائل التي استخدمها السلف في وعظهم, وهي أساليب ووسائل كثيرة متنوعة, تحقق المقصود من الموعظة بأحسن طريقة وأسلم منهج
3- بيان منهج السلف رحمهم الله في التأليف في باب الوعظ, مع تناول بعض هذه المؤلفات بالتحليل والاستنباط
4- بيان حرص السلف على سلامة منهج الوعظ, وذلك من خلال إنكارهم على من ابتدع في منهج الوعظ وسلك غير الجادة فيه
5- إبراز صفات الوعّاظ من السلف, ليحصل الاقتداء بهم
6- إلقاء الضوء على المخالفين لمنهج السلف في الوعظ قديماً وحديثاً, وبيان بطلان منهجهم
";https://www.sifatusafwa.com/ar/أقوال-السلف/manhaj-as-salaf-fi-al-wa-dhi-suleyman-al-arabi-ibn-safiyyah.html
