;description;lien
11;"Recueil de l’Imam as-Souyouti réunissant les Dhikr et Dou’as à faire selon les différents moments de la journée et aussi selon les adorations.
Vérifiée à partir de 3 manuscrits, Harakat en partie et référencement des Hadiths.
";https://www.sifatusafwa.com/fr/adhkar-et-dou-ah/al-kalim-at-tayyib-wal-qawl-al-mukhtar-recueil-de-dhikr-de-souyouti.html
12;"Explication du Cheikh Abderrazzaq al-Abbad al-Badr à la meilleure formule d'imploration de pardon : «سيد الاستغفار - Sayidul Istighfar »:
";https://www.sifatusafwa.com/fr/adhkar-et-dou-ah/charh-hadith-sayyid-al-istighfar-cheikh-abd-ar-razzaq-al-badr.html
13;"« L’exaucement des invocations »
Il s'agit d'un bref traité dans lequel l'auteur regroupe tout ce qu'il a trouvé dans la noble Sunnah du Prophète concernant les moments, les lieux et les contextes dans lesquels les invocations sont exaucées.
Il est bien connu que les lieux et les moments où les invocations sont exaucées font partie des choses qui ne sont connues que par les textes (Coran et Sunnah), il n'est donc pas correct d'inventer des lieux et des contextes qui ne sont pas mentionnés dans les textes de la Charia. Que dire donc des lieux et des contextes où il est interdit de prier et d’invoquer, tels que les tombes des saints, les sépulcres et mausolées et les anniversaires religieux innovés, ainsi que les Adhkar et le Awrad précis totalement innovés et les différents actes d’adorations eux aussi innovés.
Dans cet ouvrage, l'écrivain a recherché à ne mentionner que les textes authentiques et notoires, en s'éloignant de tout texte faible.
100% Harakat, belle mise en page.
";https://www.sifatusafwa.com/fr/adhkar-et-dou-ah/ijabah-ad-dou-a-lexaucement-des-invocations-dr-ali-al-imran.html
14;"Ce livre expose la réalité de la Roqiyah Chari’ah et son cadre légal, loin des abus et escroqueries, mais bien dans la façon authentique d’y avoir recours selon la Shariah.
Le texte est suivi par plusieurs histoires sur ce sujet qui aideront à illustrer les propos de l’auteur. 
";https://www.sifatusafwa.com/fr/adhkar-et-dou-ah/la-roqiyah-shar-iyah-ahmad-at-tayyar.html
15;"Résumé d'un livre du Cheikh al-Oubaylan, ce recueil est à l'image des recueils comme ceux de l'imam al-Bukhari: des Chapitres, les versets qui y sont liés et ensuite les ahaadith. Pour chaque hadith l'auteur donne son jugement d’authenticité et expose les différentes références (les sources dans les recueils de hadith et la chaine de transmission).Les hadith sont 100% harakat (sauf quelques exceptions), et la mise en page est agréable.
";https://www.sifatusafwa.com/fr/adhkar-et-dou-ah/moukhtasar-kitab-al-dhikr-wal-dou-ah-cheikh-al-ubaylan.html#/28-edition-couverture_souple
16;"Recueil de Adhkar authentique, basé exclusivement les Hadiths reconnus bons ou authentiques par les Imams al-Albani et Muqbil al-Wadi'i.
100% Harakat, petit format, impression en noir et rouge sur papier beige.
";https://www.sifatusafwa.com/fr/adhkar-et-dou-ah/sahih-al-adhkar-wa-ar-roqiya-basé-sur-le-tahqiq-d-al-albani-et-moqbil.html
17;"Cet ouvrage, accessible et bénéfique à tout un chacun, traite les Noms d’Allah azza wa jall, selon le Coran et la Sounnah, en développant le schéma suivant pour chacun d'entre eux : le sens, les implications pour Sa Création, et comment adorer Allah en fonction de ce nom et ce qu’il représente.
";https://www.sifatusafwa.com/fr/al-asma-wa-as-sifat/al-moukhtasar-al-asna-fi-asmaa-allah-al-housna.html
18;"Explication concise, sous forme d'annotations simplifiées et extrêmement pertinentes. C'est un Charh qui est recommandé car il ne s’étend pas en longueur et n'est pas non plus trop court.
Il est pertinent et très réussi, et il constitue une excellente première étude que ce soit pour le livre de base de Cheikh al-Uthaymin ""al-Qawaid al-Mouthla fi sifat Allah wa Asma-ihi al-Housna"" ou dans le sujet des Asma wa Sifat en général.
";https://www.sifatusafwa.com/fr/al-asma-wa-as-sifat/al-mujalla-fi-charh-al-qawa-id-al-muthla-lil-uthaymin-kamila-al-kawari.html
19;"Les Noms d'Allah Tout-Puissant sont nombreux et très importants pour la Foi du musulman. Ce livre est une tentative importante de collecter d'autres beaux noms, qui ne sont pas parmi les quatre-vingt-dix-neuf beaux noms, mais ils ne s'y opposent pas, car les Noms d'Allah sont innombrables.Dans ce livre, plus de quarante parmi les beaux Noms d'Allah, le Tout-Puissant, ont été comptés, avec une description de chaque Nom, une explication de sa signification, ses buts et tous les versets qui le contiennent.
Une oeuvre magistrale du grand savant ibn Qayyim al-Jawziyyah dans une belle édition syrienne vérifiée et avec le référencement des preuves citées.
";https://www.sifatusafwa.com/fr/al-asma-wa-as-sifat/asma-allah-al-housna-al-imam-ibn-qayyim-al-jawziyyah.html
20;"Cette recherche détaillée traite du Tafwidh dans les noms et attributs. En effet, pour les Asharis, les Hanbalis / Atharis font partie de Ahl as-Sounnah car ils pratiquent le Tafwidh, c'est-à-dire qu’ils acceptent l’attribut, sans en donner une signification, signification qu’ils laissent a Allah. Pour Ibn Taymiyya dire cela des Salafs est une injustice, car ils affirmaient le sens connu des attributs sans se soustraire, sauf pour le Kayf - le comment.
Certains propos de Salafs ou de certains Hanbalis évoquent un Tafwidh du sens, d’autres un Tafwidh du comment. Cette recherche tend à vérifier, preuves à l’appui, si oui ou non les Salafs faisaient le Tawfidh, si oui comment. Et que penser du Tafwidh du sens des attributs qui authentifie le mot, mais délaisse son explication, même linguistique ?
";https://www.sifatusafwa.com/fr/al-asma-wa-as-sifat/at-tafwid-fi-as-sifat-al-ilahiyyah-muhammad-ar-rabah.html
21;"Il s'agit d'une thèse de master montrant la réalité du Tafwid, les exemples et les idées fausses des adeptes du Tafwid et les arguments de l'école du Tafwid et la preuve de sa fausseté.
Cette thèse se distingue par la collecte des points de vue opposés sur la question du Tafwid, la discussion approfondie de ceux qui soutiennent la Tafwid et la mise en évidence des effets de cette doctrine parmi les sectes, anciennes et nouvelles.Belle édition saoudienne, cette thèse a reçu la mention excellente.
";https://www.sifatusafwa.com/fr/al-asma-wa-as-sifat/madhhab-ahl-at-tafwid-fi-nousous-as-sifat-ahmad-al-qadi.html
22;"Il s'agit d'un livre puissant de la Aqida. Ibn al-Mawsouli (774H) résuma l’œuvre d'Ibn al-Qayyim, As-Sawa'iq al-Moursala, qui est une réfutation aux sectes ayant déviées concernant les Noms et Attributs d'Allah.Ce résumé est vraiment un livre important parfois plus conseillé encore que l’œuvre originale, et c'est un ouvrage indispensable dans la réfutation des idées logiques et philosophiques concernant les Attributs d'Allah et aussi de l'usage de l’interprétation pour déformer certains des Sifats de notre Seigneur 'azza wa jall.Il s'agit de la meilleure édition de cette œuvre, vérifiée à partir de 5 manuscrits, avec références et annotations complémentaires du Muhaqqiq.
";https://www.sifatusafwa.com/fr/al-asma-wa-as-sifat/mukhtasar-sawa-iq-al-mursala-ala-al-jahmiya-wa-al-mu-attilah-ibn-al-qayyim.html
23;"Recherche importante effectuée dans les livres des savants Hanbali anciens, pré et post Ibn Taymiyyah et plus récent, afin de démontrer la croyance des Hanabilah concernant l'affirmation des noms d'Allah sans modification, mais aussi leur position vis-à-vis du Tafwid et des Af'al al-Ikhtiyariyyah.
Recherche bien construite et documentée.
";https://www.sifatusafwa.com/fr/al-asma-wa-as-sifat/étude-des-attributs-d-allah-dans-les-ouvrages-hanbalis.html
24;"L’auteur explique dans ce livre ses intentions religieuses d'établir les lois d’ALLAH et la justice parmi les gens, pendant une période durant laquelle s’était répandu le chaos et de nombreuses atteintes aux biens des gens et à leur personne. Il y mentionne que les dirigeants, les exécutants et tous ceux qui détenaient le pouvoir volaient et pillaient.
Cheikh al-Islam a écrit cette fatwa après que de nombreux savants ont cessé d'émettre des fatwas sur certaines de ces questions par complaisance avec les oppresseurs, certains d'entre eux ont émis des fatwas trompeuses par lâcheté et soumission (aux oppresseurs), et d’autres ont émis des fatwas selon ce qui leur est apparu, mais ces fatwas étaient pour la plupart contraires aux objectifs de la loi islamique et anéantissaient les intérêts du peuple.
Ancienne édition (1983), le livre est rare, avec la vérification sérieuse et approfondie ainsi que l'authentification des Hadiths par Dr Zouhayr al-Chawich.
";https://www.sifatusafwa.com/fr/al-hakimiya-koufr-wal-irjae/al-madhalim-al-mouchtarakah-cheikh-al-islam-ibn-taymiyyah.html
25;"Un livre direct et simple sur le Takfir (excommunication) en Islam. L’auteur liste les règles qui s’appliquent pour juger un musulman de mécréant, ainsi toutes les erreurs répandues a ce sujet. C’est en effet une Fitna qui touchent de nombreuses personnes d’horizon très différent, alors que les règles du Takfir sont strictes et contraignantes à dessein.
Préfacé par le Cheikh Abdelaziz ibn Muhammad Aal Abdellatif, avec les Harakats en majorité.
";https://www.sifatusafwa.com/fr/al-hakimiya-koufr-wal-irjae/al-moubin-fi-qawa-id-al-takfir-al-mou-in-mouhammad-salih-ar-rachid.html
26;"Le contexte de la Risala est le suivant : en 1041, un notable de La Mecque décide de prendre le contrôle de celle-ci en se soulevant contre le dirigeant en place de l’époque, causant lors de cette rébellion la mort de 200 Mecquois. Celui-ci appellera le Calife Ottoman à la rescousse mais le matage de la rébellion causera encore des morts, notamment du coté des assaillants.
L'Imam Mansour ibn Younous al-Bouhouti, Imam des Hanabila de son temps et référence de son Madhhab, a donc décidé d’écrire une Risala à la suite de ces événements pour clarifier ce que la Chari'ah permet et ne permet pas de faire envers les rebelles injustes, envers les ennemis en guerre, envers les rebelles et les apostats, et ceci de manière générale dans certains cas et en particulier sur la terre bénie du Haram de Makkah.
Livre rare (édité en 1988), très bonne édition vérifiée, authentifiée et annotée, Harakat en partie.
";https://www.sifatusafwa.com/fr/al-hakimiya-koufr-wal-irjae/concernant-les-meurtres-commis-à-la-mecque-al-bouhouti.html
27;"Un livre rare sur un sujet important dans la ""politique"" islamique, écrit par un éminent savant du 7ᵉ siècle, Muhammad ibn 'Ali al-Qal'yi (577-630H).
Édition vérifiée à partir du manuscrit de façon scrupuleuse, avec de nombreuses annotations (c'est à l'origine un travail présenté comme thèse de doctorat).
";https://www.sifatusafwa.com/fr/al-hakimiya-koufr-wal-irjae/kitab-fi-al-imamah-muhammad-ibn-ali-al-qal-yi-630h.html
28;"La voie du Commandeur des Croyants ‘Umar ibn al-Khattab dans l'appel à ALLAH (la Da’wah).
Ce livre est une thèse de doctorat dans laquelle l’auteur clarifie les règles de la voie à emprunter dans la Da’wah, ainsi que les caractéristiques et les méthodes qui distinguent la Da’wah du Commandeur des Croyants ‘Umar.
Il y cite les preuves du Coran et de la Sunnah et les paroles des gens de science.
Le livre est préfacé et complimenté par le Cheikh Salih al-Fawzan et le Mufti Cheikh Abdelaziz Aal-Cheikh.
";https://www.sifatusafwa.com/fr/al-hakimiya-koufr-wal-irjae/manhaj-amir-al-muminin-umar-ibn-al-khattab-fi-ad-da-wah-ila-allah.html
29;"L'auteur a réuni 25 conseils primordiaux à suivre et à mettre en pratique pour chaque étudiant en science sincère. Chaque fois il cite des Hadith et des Athar comme preuve.
Très belle édition avec une mise en page agréable à lire.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/25-conseils-pour-les-étudiants-en-science-abu-abdillah-al-athari.html
30;"Risalah très intéressante qui explique la personnalité que se doit d'avoir l’étudiant en science religieuse pour atteindre son but: par ses actes, son comportement, ses qualités, sa piété, le délaissement des péchés, la mise en pratique, l'attitude envers son cheikh, envers les livres, ses intentions, l’écriture et la rédaction d'ouvrages...
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/adab-talib-al-ilm-le-comportement-de-l-étudiant-dr-ahmad-at-tayyar.html
31;"Superbe recueil de Hadiths Authentiques, 100% harakat sur les hadiths, avec les références et le degré d’authenticité, et des notes pour les mots qui peuvent être difficiles.
Les 160 Hadiths de ce recueil proviennent des 6 livres principaux du Hadith, qui sont le Sahih al-Boukhari, Sahih Mouslim, Sounan Abi Dawoud, Sounan at-Tirmidhi, Sounan an-Nassa-i et Sounan ibn Majah.
Édition Turque de très bonne qualité, avec une mise en page soignée.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/al-jami-as-sahih-li-ahadith-al-ilm-min-al-kutub-as-sittah.html
32;"Ce livre réuni plusieurs listes des livres considérés comme Mou'tamad, soit les livres de références dans leur domaine, ceux qui font autorité, au sein d'Al-Azhar al-Charif, l'une des plus anciennes et célèbres universités de science islamique du monde, située au Caire en Égypte.
Magnifique édition de grande qualité, toutes les sciences sont citées (Adab, Tafsir, Hadith, Fiqh: les 4 écoles, Usul al-Fiqh, al-Balagha etc. etc.).
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/al-manahij-al-azhari-liste-des-livres-de-référence-d-al-azhar.html
33;"Magnifique recueil de citations sur l'avidité envers la lecture et la recherche de la science, par le Dr. 'Ali al-'Imran, qui nous fait encore une fois profiter de Fawaid lues et prises au fil de ses nombreuses lectures et recherches.
Un ouvrage inspirant qui ravivera le cœur de tous les Toullab al-'Ilm.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/al-mouchawwiq-ila-al-qira-ah-wa-talab-al-ilm-dr-ali-al-imran.html#/167-edition-edition_économique
34;"Magnifique recueil de citations sur l'avidité envers la lecture et la recherche de la science, par le Dr. 'Ali al-'Imran, qui nous fait encore une fois profiter de Fawaid lues et prises au fil de ses nombreuses lectures et recherches.
Un ouvrage inspirant qui ravivera le cœur de tous les Toullab al-'Ilm.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/al-mouchawwiq-ila-al-qira-ah-wa-talab-al-ilm-dr-ali-al-imran.html#/168-edition-edition_haute_qualité
35;"Voici une série de conseils paternels d'un enseignant envers ses étudiants, afin que nous nous reformions et cheminions sur le voie droite et la voie de l'apprentissage, en observant les caractères qu'il convient d'avoir pour être un véritable étudiant.
Cet excellent livre remplit de bon conseils est écrit par le Cheikh Soulayman Aba al-Khayl, qui est le directeur de l’Université de Riyadh, Muhammad ibn Sou'oud ainsi qu'un des membres du comité des grands savants d'Arabie Saoudite.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/al-wasaya-al-abawiya-ar-rabaniya-li-tullab-al-jami-at-cheikh-aba-al-khayl.html
36;"Ce livre rassemble les différentes manières d’apprentissage des sciences islamiques et trace les différentes méthodes pour établir une spécialisation dans les domaines du savoir religieux.
Il observe les problèmes de ceux qui souhaitent apprendre la science et révèle les zones de dispersion dans les programmes d’apprentissage.
Il sélectionne des perles parmi les bienfaits de la recherche de la science et les vertus de s’y adonner.
Il parle des types d'obstacles que l’étudiant rencontre lors de la recherche de la science, identifie les caractéristiques de l'étudiant en science, ainsi que les caractéristiques de la méthodologie à utiliser pour la recherche de la science.
L'auteur cherche à répondre à un certain nombre de questions qui se dressent sur le chemin de ceux qui cherchent à satisfaire leurs besoins scientifiques et leurs désirs de connaissances.
Cet ouvrage propose également des programmes pour l'apprentissage de chaque branche des sciences islamiques, des programmes progressifs et variés.
Il énumère une liste des ouvrages à lire dans les divers domaines de la science et de la culture, et explique les différences entre les branches des différentes sciences.
Dans son livre, l'auteur n'a pas négligé d'expliquer ce qui aide l’étudiant en sciences islamiques parmi les diverses sciences humaines.
Ce livre servira de référence méthodologique complète pour les étudiants en sciences et les intellectuels dans les divers domaines de la science, du savoir et de la culture.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/as-subul-al-mardhiyyah-li-talab-al-ulum-ash-shariyyah-ahmad-salim.html
37;"Annotations du Cheikh Abderrazzaq ibn AbdelMuhsin al-Badr à la Risalah de l'Imam al-Ajourri sur les comportements des mémorisateurs et lecteurs du Coran ""Akhlaq Hamalah al-Qouran"".
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/at-tibiyan-fi-charh-akhlaq-hamalah-al-qouran-abderrazzaq-al-badr.html#/21-edition-egyptienne
38;"Excellente explication du Cheikh Abdallah al-Fawzan du Chapitre concernant le comportement de l'élève et de l’enseignant issu de la célèbre introduction du Majmou’ al-Mouhaddhab de l’Imam an-Nawawi.
Belle édition saoudienne, avec des notes en marge clarifiant les sujets traités.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/charh-risalah-adab-ad-daris-wal-mudarris-abdallah-al-fawzan.html
39;"Le Muhaddith Abdelfattah Abu Ghudda a réuni ici 3 lettres écrites de la plume des grands Imams. Il s’agit de correspondances dans lesquelles les Imams discutent de sujets légaux et techniques et avancent leur point de vue.
La première est la lettre écrite par l’imam Abou Hanifa a ‘Othman al-Batti, la seconde est la lettre écrite par l’imam Malik ibn Anas a l’imam al-Layth ibn Sa’d, et enfin la dernière est la réponse de al-Layth ibn Sa’d à l’imam Malik.
Le but de ce recueil, avec ses notes complémentaires et les autres exemples cités en conclusion, est de montrer le comportement adopté par les grands imams exemplaires dans leur discussion sur les sujets de Fiqh et leur Adab dans la divergence.
Harakat en partie.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/correspondances-entre-imams-abu-hanifa-malik-layth-ibn-sad.html
40;"Recueil 100% Harakat des Adhkars à dire le matin et le soir, ainsi que dans de nombreux moments de la vie du Mouslim.
Il s’agit d’un résumé du livre du Mouhaddith contemporain Abdullah as-Sa’d, dans un format moyen, avec annotations sur les sources du hadith et leur authenticité.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/doua-et-dhikr-rapportés-du-prophète-abdallah-as-sad.html
41;" 
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/khazanat-al-ulum-li-amir-al-muminin-bil-andalus-al-mutnassir-billah.html
42;"Recueil du Hafidh Abou Khaithamah Zouhair ibn Harb an-Nissa-i (234H) sur le thème du savoir. Authentifié et annoté par Cheikh Muhammad Nasir ad-Din al-Albani.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/kitab-al-ilm-hafidh-abou-khaythamah-tahqiq-al-albani.html
43;"Ce livre parle de l’histoire de l’enregistrement par voie écrite de la science et des narrations : Quand et comment a-t-il commencé ? Mais ce livre traite principalement du sujet suivant : le jugement dans la Shariah sur le fait de mettre par écrit les narrations, est-il permis ou interdit.
Ce livre contient (316) textes, certains étant des paroles du Prophète et d’autres étant des paroles de Compagnons et de Tabi’in. L'auteur a cité un certain nombre de chapitres qui peuvent être divisés en quatre sections :
La première : Elle contient les textes sur le statut détestable de l'écriture de la science.
La deuxième : L'auteur mentionne les raisons pour lesquelles l’écriture de la science était détestable.
La troisième : Elle contient les textes sur la permission d’écrire la science et démontre ensuite que l’écriture préserve la science.
La quatrième : Il y parle de la vertu des livres et mentionne des textes sur le fait d’en posséder et de les prêter.
L'auteur énumère les textes de la première et deuxième section sans les commenter, puis il procède à quelques commentaires utiles par lesquels il oriente certains textes, ou repousse l'apparente contradiction entre certains textes.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/kitab-taqyid-al-ilm-al-khatib-al-baghdadi.html#/34-edition-édition_2
44;"Le titre exact de cette épître est : Les spécificités de la langue Arabe et pourquoi est-il obligatoire de l'apprendre.C'est un sujet très important, et il est excellemment traité par son auteur, un Cheikh de Dar al-Uloom en Inde. Il expose de nombreuses preuves et exemples tout au long de sa recherche qui est très intéressante.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/les-spécificités-de-la-langue-arabe-et-l-obligation-de-l-apprendre.html
45;"Magnifique Risalah de l'Imam ibn Faris sur la façon dont l’étudiant doit prendre la science, comment il doit la recevoir de son Cheikh...Superbe édition vérifiée et authentifiée.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/ma-khadh-al-ilm-de-l-imam-ibn-faris-395h.html
46;"Petite risala remplie de Fawaid écrite par un Muhaddith et chercheur contemporain, sur la méthodologie des Salaf dans l'apprentissage, l'enseignement et la façon de poser les questions.
Format moyen, avec les références des récits, et les harakats en partie.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/manhaj-as-salaf-fi-sou-al-an-al-ilm-wa-fi-ta-lim-abdulfattah-abu-ghuddah.html
47;"Cheikh Abd ar-Razzaq al-Badr commente et complète une Risalah de Cheikh al-Uthaymin sur l'organisation du Talib al-'Ilm dans ses études et la méthode à suivre.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/minhaj-yawmi-li-talib-al-ilm-al-uthaymin-abderrazaq-al-badr.html
48;"Une règle majeure parmi les règles dans la vérification des manuscrits, c’est même le but principal de la vérification: (Présenter l’ouvrage comme son auteur l’a laissé).
Ceci est une épître brève qui cite les règles de base dans l'art de la vérification des textes (manuscrits). Avec trois annexes intéressantes pour le lecteur.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/qawa-id-tahqiq-an-nousous-dr-ali-al-imran.html
49;"Un livre complet et important pour les Toullab al-Ilm car il intervient sur de nombreux aspects du sujet, que ce soit les bases de la science et de la compréhension, la personnalité et le comportement, la recherche, les outils et méthodes de recherches, les livres et aussi l’écriture de livre ou de recueils.Un livre indispensable à tout étudiant en science se voulant sérieux et déterminé, car il explore certains aspects rarement exposés dans d'autres livres portant sur le même sujet.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/sinaa-ah-taalib-al-ilm-maahir-dr-ahmad-at-tayyar.html
50;"« Salwatu at-Talib » (la consolation de l’étudiant) qui dissipe les soucis des étudiants en science, en culture et en littérature et renforce l’estime de soi et la recherche de la perfection.
Le livre se présente sous forme de petits chapitres, chaque chapitre parle d'un sujet, qui sont tous importants et nécessaires pour les étudiants en science.
Parfois il traite la distraction (de l’étudiant), parfois il enseigne qu'il faut vérifier avant de tomber dans des illusions, et parfois il motive en évoquant certains de ceux dont la détermination était si grande qu’on on se sent tout petit devant, parfois même jusqu’à mépriser son égaux. Puis il te rappelle que ce sont des hommes et que si tu t’efforçais, tu pourrais atteindre ce qu’ils ont atteint ; ton admiration pour eux ne doit donc pas te détourner du chemin et ne doit pas te décourager et affaiblir ta détermination et tes efforts, mais tu te dois plutôt de les prendre comme modèle et de suivre leur voie.
Un ouvrage inspirant qui ravivera le cœur de tous les Toullab al-'Ilm.
";https://www.sifatusafwa.com/fr/al-ilm-wa-talab-al-ilm/soulwatu-at-toullab-la-consolation-de-l-etudiant-dr-ali-al-imran.html#/167-edition-edition_économique
